0;0;0;0;land;false;unknown;0
1;169;38;1;land;false;forest;7
2;205;18;1;land;false;forest;7
3;210;48;1;land;false;forest;7
4;197;42;1;land;false;plains;7
5;184;1;1;land;false;forest;7
6;244;51;1;land;false;forest;7
7;169;39;1;land;false;forest;7
8;170;24;1;land;false;forest;7
9;174;36;1;land;false;forest;7
10;223;41;1;land;false;forest;7
11;181;55;1;land;false;forest;7
12;194;3;1;land;false;forest;7
13;200;47;1;land;false;forest;7
14;201;52;1;land;false;plains;7
15;20;132;1;land;false;forest;7
16;7;166;1;land;false;urban;7
17;44;93;1;land;false;forest;7
18;47;125;1;land;false;plains;7
19;26;147;1;land;false;forest;7
20;24;139;1;land;false;urban;7
21;72;110;1;land;false;urban;7
22;241;57;1;land;true;forest;7
23;250;34;1;land;true;forest;7
24;39;197;1;land;true;forest;7
25;62;181;1;land;true;forest;7
26;201;161;1;land;false;desert;7
27;151;196;1;land;false;plains;7
28;163;192;1;land;false;desert;7
29;183;211;1;land;false;desert;7
30;199;175;1;land;false;plains;7
31;129;199;1;land;false;plains;7
32;173;141;1;land;false;plains;7
33;171;153;1;land;false;plains;7
34;182;199;1;land;false;desert;7
35;124;155;1;land;false;plains;7
36;23;14;1;land;false;mountain;7
37;41;68;1;land;false;hills;7
38;20;41;1;land;false;plains;7
39;15;4;1;land;false;hills;7
40;49;7;1;land;false;plains;7
41;15;23;1;land;false;mountain;7
42;0;54;1;land;false;mountain;7
43;24;45;1;land;false;plains;7
44;23;67;1;land;false;plains;7
45;46;33;1;land;false;mountain;7
46;1;59;1;land;false;plains;7
47;35;50;1;land;false;mountain;7
48;41;23;1;land;false;mountain;7
49;20;76;1;land;false;mountain;7
50;116;138;1;land;false;forest;7
51;107;126;1;land;false;forest;7
52;102;155;1;land;false;forest;7
53;104;139;1;land;false;forest;7
54;117;161;1;land;false;forest;7
55;94;165;1;land;false;forest;7
56;87;183;1;land;false;forest;7
57;87;108;1;land;false;forest;7
58;57;165;1;land;false;forest;7
59;52;137;1;land;false;forest;7
60;91;200;1;land;false;plains;7
61;143;193;1;land;true;plains;7
62;94;149;1;land;true;forest;7
63;126;149;1;land;false;plains;7
64;141;180;1;land;true;hills;7
65;110;143;1;land;false;plains;7
66;215;18;1;land;false;forest;7
67;225;25;1;land;false;urban;7
68;215;7;1;land;false;plains;7
69;196;15;1;land;false;urban;7
70;249;140;1;land;false;forest;7
71;228;130;1;land;false;urban;7
72;233;125;1;land;false;urban;7
73;155;226;1;land;false;plains;7
74;163;240;1;land;false;plains;7
75;171;232;1;land;false;hills;7
76;106;223;1;land;true;plains;7
77;175;237;1;land;false;plains;7
78;179;243;1;land;false;plains;7
79;127;224;1;land;false;hills;7
80;138;247;1;land;false;plains;7
81;127;243;1;land;false;plains;7
82;113;237;1;land;false;plains;7
83;133;244;1;land;false;plains;7
84;154;239;1;land;false;plains;7
85;121;246;1;land;false;plains;7
86;108;224;1;land;true;plains;7
87;153;254;1;land;false;hills;7
88;174;235;1;land;false;plains;7
89;115;252;1;land;false;plains;7
90;174;245;1;land;false;plains;7
91;137;232;1;land;false;plains;7
92;15;98;1;land;false;forest;7
93;63;109;1;land;false;urban;7
94;24;133;1;land;false;forest;7
95;63;120;1;land;false;jungle;7
96;32;118;1;land;false;urban;7
97;18;122;1;land;false;plains;7
98;2;129;1;land;false;urban;7
99;28;152;1;land;false;urban;7
100;103;214;1;land;false;plains;7
101;155;251;1;land;false;plains;7
102;160;237;1;land;false;plains;7
103;172;251;1;land;false;plains;7
104;119;209;1;land;false;plains;7
105;94;210;1;land;false;plains;7
